LOCATION,SRH,EWVLH
AUS,0.072727273,0.539033457
AUT,0.327272727,0.80669145
BEL,0.272727273,0.843866171
CAN,0,0.881040892
CZE,0.490909091,0.836431227
DNK,0.345454545,0.962825279
FIN,0.381818182,0.869888476
FRA,0.4,0.717472119
DEU,0.418181818,0.858736059
GRC,0.181818182,0.836431227
HUN,0.563636364,0.94795539
ISL,0.218181818,0.568773234
IRL,0.090909091,0.828996283
ITA,0.290909091,0.881040892
JPN,0.945454545,0.899628253
KOR,1,0
LUX,0.309090909,0.992565056
MEX,0.418181818,0.483271375
NLD,0.254545455,0.951672862
NZL,0.054545455,0.847583643
NOR,0.254545455,0.795539033
POL,0.527272727,0.847583643
PRT,0.709090909,0.910780669
SVK,0.436363636,0.970260223
ESP,0.254545455,0.988847584
SWE,0.236363636,0.074349442
CHE,0.145454545,0.602230483
TUR,0.4,0.617100372
GBR,0.290909091,0.795539033
USA,0.018181818,0.717472119
CHL,0.527272727,0.921933086
EST,0.581818182,0.479553903
ISR,0.272727273,0.944237918
LVA,0.763636364,1
RUS,0.836363636,0.795539033
SVN,0.4,0.431226766
OECD,0.381818182,0.624535316
